Variable	Value
Description	Automatic placement of labels outside polygons
Author	nyalldawson
milestone	3.14.0
PR	[36106](https://github.com/qgis/QGIS/pull/36106)
datetime	2020-05-03T19:38:49Z
tags	Labeling
Description	Feature browser for preview in expression builder
Author	3nids
milestone	3.14.0
PR	[36089](https://github.com/qgis/QGIS/pull/36089)
datetime	2020-04-30T15:50:11Z
tags	-
Description	add expression close_line
Author	JanCaha
milestone	3.14.0
PR	[36069](https://github.com/qgis/QGIS/pull/36069)
datetime	2020-05-01T23:08:36Z
tags	Expressions
Description	Allow overriding the legend patch size on a per-item basis
Author	nyalldawson
milestone	3.14.0
PR	[36013](https://github.com/qgis/QGIS/pull/36013)
datetime	2020-04-28T01:31:45Z
tags	Print Layouts
Description	Allow control over the horizontal spacing before legend group/subgroup/symbols
Author	nyalldawson
milestone	3.14.0
PR	[35974](https://github.com/qgis/QGIS/pull/35974)
datetime	2020-04-24T18:49:55Z
tags	Print Layouts
Description	Expressions for geometry Z and M minimum and maximum
Author	JanCaha
milestone	3.14.0
PR	[35928](https://github.com/qgis/QGIS/pull/35928)
datetime	2020-04-27T11:28:23Z
tags	Expressions
Description	1D mesh width/color varying
Author	vcloarec
milestone	3.14.0
PR	[35926](https://github.com/qgis/QGIS/pull/35926)
datetime	2020-04-24T08:49:25Z
tags	Documentation;Mesh
Description	Manage legend patch shapes through style manager
Author	nyalldawson
milestone	3.14.0
PR	[35909](https://github.com/qgis/QGIS/pull/35909)
datetime	2020-04-22T02:43:03Z
tags	-
Description	ability to remove custom functions (fix #27513)
Author	alexbruy
milestone	3.14.0
PR	[35901](https://github.com/qgis/QGIS/pull/35901)
datetime	2020-04-30T06:38:40Z
tags	-
Description	add is_multipart expression for geometry
Author	JanCaha
milestone	3.14.0
PR	[35889](https://github.com/qgis/QGIS/pull/35889)
datetime	2020-04-21T19:26:55Z
tags	Expressions
Description	Allow configuring legend patch shapes by double-clicking on legend items
Author	nyalldawson
milestone	3.14.0
PR	[35863](https://github.com/qgis/QGIS/pull/35863)
datetime	2020-04-21T00:40:51Z
tags	-
Description	ascii expression
Author	JanCaha
milestone	3.14.0
PR	[35839](https://github.com/qgis/QGIS/pull/35839)
datetime	2020-04-19T23:28:57Z
tags	Expressions
Description	Support pasting pictures directly into layouts
Author	nyalldawson
milestone	3.14.0
PR	[35821](https://github.com/qgis/QGIS/pull/35821)
datetime	2020-04-17T03:48:07Z
tags	Print Layouts
Description	Add vector tiles to Datasource manager dialog and Layers menu
Author	alexbruy
milestone	3.14.0
PR	[35815](https://github.com/qgis/QGIS/pull/35815)
datetime	2020-04-17T08:59:40Z
tags	-
Description	New modeler algorithm for creating conditional branches
Author	nyalldawson
milestone	3.14.0
PR	[35808](https://github.com/qgis/QGIS/pull/35808)
datetime	2020-04-16T06:02:54Z
tags	Processing
Description	import/export for ArcGIS Map and FeatureServer connections (fix #27485)
Author	alexbruy
milestone	3.14.0
